72185.254324268 MEMLOG_E_S1_DONE              diff = 0.000001041
72185.264322202 MEMLOG_E_WCET_START           diff = 0.009997934
72185.264323192 MEMLOG_E_S1_DONE              diff = 0.000000990
72185.274321543 MEMLOG_E_WCET_START           diff = 0.009998351
72185.274322532 MEMLOG_E_S1_DONE              diff = 0.000000989
72185.284320883 MEMLOG_E_WCET_START           diff = 0.009998351
72185.284321872 MEMLOG_E_S1_DONE              diff = 0.000000989
72185.294321317 MEMLOG_E_WCET_START           diff = 0.009999445
72185.294322254 MEMLOG_E_S1_DONE              diff = 0.000000937
72185.304321282 MEMLOG_E_WCET_START           diff = 0.009999028
72185.304322271 MEMLOG_E_S1_DONE              diff = 0.000000989
72185.314320935 MEMLOG_E_WCET_START           diff = 0.009998664
72185.314321924 MEMLOG_E_S1_DONE              diff = 0.000000989
72185.324320848 MEMLOG_E_WCET_START           diff = 0.009998924
72185.324321785 MEMLOG_E_S1_DONE              diff = 0.000000937
72185.334320709 MEMLOG_E_WCET_START           diff = 0.009998924
72185.334321698 MEMLOG_E_S1_DONE              diff = 0.000000989
72185.344321195 MEMLOG_E_WCET_START           diff = 0.009999497
72185.344322184 MEMLOG_E_S1_DONE              diff = 0.000000989
72185.354323504 MEMLOG_E_WCET_START           diff = 0.010001320
72185.354324493 MEMLOG_E_S1_DONE              diff = 0.000000989
72185.364322271 MEMLOG_E_WCET_START           diff = 0.009997778
72185.364323209 MEMLOG_E_S1_DONE              diff = 0.000000938
72185.374321195 MEMLOG_E_WCET_START           diff = 0.009997986
72185.374322132 MEMLOG_E_S1_DONE              diff = 0.000000937
72185.384321316 MEMLOG_E_WCET_START           diff = 0.009999184
72185.384322254 MEMLOG_E_S1_DONE              diff = 0.000000938
72185.394321177 MEMLOG_E_WCET_START           diff = 0.009998923
72185.394322167 MEMLOG_E_S1_DONE              diff = 0.000000990
72185.404321038 MEMLOG_E_WCET_START           diff = 0.009998871
72185.404322028 MEMLOG_E_S1_DONE              diff = 0.000000990
72185.414321004 MEMLOG_E_WCET_START           diff = 0.009998976
72185.414322045 MEMLOG_E_S1_DONE              diff = 0.000001041
72185.424321229 MEMLOG_E_WCET_START           diff = 0.009999184
72185.424322219 MEMLOG_E_S1_DONE              diff = 0.000000990
72185.434320986 MEMLOG_E_WCET_START           diff = 0.009998767
72185.434322028 MEMLOG_E_S1_DONE              diff = 0.000001042
72185.444320743 MEMLOG_E_WCET_START           diff = 0.009998715
72185.444321732 MEMLOG_E_S1_DONE              diff = 0.000000989
72185.454322791 MEMLOG_E_WCET_START           diff = 0.010001059
72185.454323833 MEMLOG_E_S1_DONE              diff = 0.000001042
72185.464321715 MEMLOG_E_WCET_START           diff = 0.009997882
72185.464322705 MEMLOG_E_S1_DONE              diff = 0.000000990
72185.474321316 MEMLOG_E_WCET_START           diff = 0.009998611
72185.474322305 MEMLOG_E_S1_DONE              diff = 0.000000989
72185.484321020 MEMLOG_E_WCET_START           diff = 0.009998715
72185.484322010 MEMLOG_E_S1_DONE              diff = 0.000000990
72185.494322131 MEMLOG_E_WCET_START           diff = 0.010000121
72185.494323173 MEMLOG_E_S1_DONE              diff = 0.000001042
72185.504321993 MEMLOG_E_WCET_START           diff = 0.009998820
72185.504322982 MEMLOG_E_S1_DONE              diff = 0.000000989
72185.514321541 MEMLOG_E_WCET_START           diff = 0.009998559
72185.514322531 MEMLOG_E_S1_DONE              diff = 0.000000990
72185.524321194 MEMLOG_E_WCET_START           diff = 0.009998663
72185.524322183 MEMLOG_E_S1_DONE              diff = 0.000000989
72185.534321003 MEMLOG_E_WCET_START           diff = 0.009998820
72185.534321992 MEMLOG_E_S1_DONE              diff = 0.000000989
72185.544321333 MEMLOG_E_WCET_START           diff = 0.009999341
72185.544322322 MEMLOG_E_S1_DONE              diff = 0.000000989
72185.554322496 MEMLOG_E_WCET_START           diff = 0.010000174
72185.554323485 MEMLOG_E_S1_DONE              diff = 0.000000989
72185.564321784 MEMLOG_E_WCET_START           diff = 0.009998299
72185.564322826 MEMLOG_E_S1_DONE              diff = 0.000001042
72185.574320655 MEMLOG_E_WCET_START           diff = 0.009997829
72185.574321593 MEMLOG_E_S1_DONE              diff = 0.000000938
72185.584321141 MEMLOG_E_WCET_START           diff = 0.009999548
72185.584322131 MEMLOG_E_S1_DONE              diff = 0.000000990
72185.594324388 MEMLOG_E_WCET_START           diff = 0.010002257
72185.594325377 MEMLOG_E_S1_DONE              diff = 0.000000989
72185.604322738 MEMLOG_E_WCET_START           diff = 0.009997361
72185.604323728 MEMLOG_E_S1_DONE              diff = 0.000000990
72185.614320933 MEMLOG_E_WCET_START           diff = 0.009997205
72185.614321922 MEMLOG_E_S1_DONE              diff = 0.000000989
72185.624322252 MEMLOG_E_WCET_START           diff = 0.010000330
72185.624323294 MEMLOG_E_S1_DONE              diff = 0.000001042
72185.634321749 MEMLOG_E_WCET_START           diff = 0.009998455
72185.634322790 MEMLOG_E_S1_DONE              diff = 0.000001041
72185.644320464 MEMLOG_E_WCET_START           diff = 0.009997674
72185.644321506 MEMLOG_E_S1_DONE              diff = 0.000001042
72185.654323346 MEMLOG_E_WCET_START           diff = 0.010001840
72185.654324335 MEMLOG_E_S1_DONE              diff = 0.000000989
72185.664321332 MEMLOG_E_WCET_START           diff = 0.009996997
72185.664322321 MEMLOG_E_S1_DONE              diff = 0.000000989
72185.674321349 MEMLOG_E_WCET_START           diff = 0.009999028
72185.674322339 MEMLOG_E_S1_DONE              diff = 0.000000990
72185.684321054 MEMLOG_E_WCET_START           diff = 0.009998715
72185.684321991 MEMLOG_E_S1_DONE              diff = 0.000000937
72185.694320915 MEMLOG_E_WCET_START           diff = 0.009998924
72185.694321905 MEMLOG_E_S1_DONE              diff = 0.000000990
72185.704320880 MEMLOG_E_WCET_START           diff = 0.009998975
72185.704321870 MEMLOG_E_S1_DONE              diff = 0.000000990
72185.714320950 MEMLOG_E_WCET_START           diff = 0.009999080
