85009.987152618 MEMLOG_E_S1_RUN               diff = 0.000000625
85010.011049533 MEMLOG_E_WCET_START           diff = 0.023896915
85010.019279163 MEMLOG_E_ADATA                diff = 0.008229630 data:0
85010.019301090 MEMLOG_E_S1_DONE              diff = 0.000021927
85010.019301246 MEMLOG_E_S1_RUN               diff = 0.000000156
85010.043176547 MEMLOG_E_WCET_START           diff = 0.023875301
85010.051474874 MEMLOG_E_ADATA                diff = 0.008298327 data:0
85010.051496593 MEMLOG_E_S1_DONE              diff = 0.000021719
85010.051496853 MEMLOG_E_S1_RUN               diff = 0.000000260
85010.078851504 MEMLOG_E_WCET_START           diff = 0.027354651
85010.087136602 MEMLOG_E_ADATA                diff = 0.008285098 data:0
85010.087162956 MEMLOG_E_S1_DONE              diff = 0.000026354
85010.087163373 MEMLOG_E_S1_RUN               diff = 0.000000417
85010.111031486 MEMLOG_E_WCET_START           diff = 0.023868113
85010.119254554 MEMLOG_E_ADATA                diff = 0.008223068 data:0
85010.119274918 MEMLOG_E_S1_DONE              diff = 0.000020364
85010.119275231 MEMLOG_E_S1_RUN               diff = 0.000000313
85010.143189229 MEMLOG_E_WCET_START           diff = 0.023913998
85010.151496723 MEMLOG_E_ADATA                diff = 0.008307494 data:0
85010.151521618 MEMLOG_E_S1_DONE              diff = 0.000024895
85010.151522035 MEMLOG_E_S1_RUN               diff = 0.000000417
85010.178889134 MEMLOG_E_WCET_START           diff = 0.027367099
85010.196924528 MEMLOG_E_ADATA                diff = 0.018035394 data:0
85010.196961612 MEMLOG_E_S1_DONE              diff = 0.000037084
85010.196961976 MEMLOG_E_S1_RUN               diff = 0.000000364
85010.211112814 MEMLOG_E_WCET_START           diff = 0.014150838
85010.230254971 MEMLOG_E_ADATA                diff = 0.019142157 data:0
85010.230285127 MEMLOG_E_S1_DONE              diff = 0.000030156
85010.230285440 MEMLOG_E_S1_RUN               diff = 0.000000313
85010.243323994 MEMLOG_E_WCET_START           diff = 0.013038554
85010.262515994 MEMLOG_E_ADATA                diff = 0.019192000 data:0
85010.262547869 MEMLOG_E_S1_DONE              diff = 0.000031875
85010.262548390 MEMLOG_E_S1_RUN               diff = 0.000000521
85010.278988535 MEMLOG_E_WCET_START           diff = 0.016440145
85010.288249928 MEMLOG_E_ADATA                diff = 0.009261393 data:0
85010.288275397 MEMLOG_E_S1_DONE              diff = 0.000025469
85010.288275709 MEMLOG_E_S1_RUN               diff = 0.000000312
85010.311042632 MEMLOG_E_WCET_START           diff = 0.022766923
85010.319287835 MEMLOG_E_ADATA                diff = 0.008245203 data:0
85010.319312626 MEMLOG_E_S1_DONE              diff = 0.000024791
85010.319313043 MEMLOG_E_S1_RUN               diff = 0.000000417
85010.343167719 MEMLOG_E_WCET_START           diff = 0.023854676
85010.351466202 MEMLOG_E_ADATA                diff = 0.008298483 data:0
