timediff.py ~/ecen5623/stats/image_scanning_wcet.log  MEMLOG_E_S1_DONE MEMLOG_E_WCET_START | grep MEMLOG_E_S1_DONE | sort -n -k 3
85016.815499671 MEMLOG_E_S1_DONE              8.306
85008.887213164 MEMLOG_E_S1_DONE              8.307
85011.451425240 MEMLOG_E_S1_DONE              8.307
85009.887192383 MEMLOG_E_S1_DONE              8.308
85015.851195615 MEMLOG_E_S1_DONE              8.308
85013.483481580 MEMLOG_E_S1_DONE              8.309
85015.783423539 MEMLOG_E_S1_DONE              8.309
85010.987094702 MEMLOG_E_S1_DONE              8.310
85009.987151993 MEMLOG_E_S1_DONE              8.311
85010.087162956 MEMLOG_E_S1_DONE              8.311
85011.551485109 MEMLOG_E_S1_DONE              8.311
85011.751446516 MEMLOG_E_S1_DONE              8.311
85012.683521370 MEMLOG_E_S1_DONE              8.311
85015.083444032 MEMLOG_E_S1_DONE              8.311
85010.551452921 MEMLOG_E_S1_DONE              8.312
85012.187052204 MEMLOG_E_S1_DONE              8.312
85017.083344977 MEMLOG_E_S1_DONE              8.312
85013.551325687 MEMLOG_E_S1_DONE              8.313
85017.051136349 MEMLOG_E_S1_DONE              8.313
85012.651394825 MEMLOG_E_S1_DONE              8.314
85015.683429815 MEMLOG_E_S1_DONE              8.314
85010.487127957 MEMLOG_E_S1_DONE              8.315
85011.487089000 MEMLOG_E_S1_DONE              8.315
85012.451402377 MEMLOG_E_S1_DONE              8.315
85014.283438978 MEMLOG_E_S1_DONE              8.315
85016.051191397 MEMLOG_E_S1_DONE              8.315
85009.087196602 MEMLOG_E_S1_DONE              8.316
85016.451180773 MEMLOG_E_S1_DONE              8.316
85008.987225846 MEMLOG_E_S1_DONE              8.317
85010.687142801 MEMLOG_E_S1_DONE              8.317
85011.787059495 MEMLOG_E_S1_DONE              8.317
85011.251478937 MEMLOG_E_S1_DONE              8.318
85011.587048036 MEMLOG_E_S1_DONE              8.318
85015.651208167 MEMLOG_E_S1_DONE              8.318
85009.051575706 MEMLOG_E_S1_DONE              8.319
85010.751493234 MEMLOG_E_S1_DONE              8.319
85013.783451919 MEMLOG_E_S1_DONE              8.319
85014.083442311 MEMLOG_E_S1_DONE              8.319
85016.083401067 MEMLOG_E_S1_DONE              8.319
85009.651533884 MEMLOG_E_S1_DONE              8.320
85010.051496593 MEMLOG_E_S1_DONE              8.320
85010.651476333 MEMLOG_E_S1_DONE              8.320
85010.951519275 MEMLOG_E_S1_DONE              8.320
85015.551226838 MEMLOG_E_S1_DONE              8.320
85008.851579144 MEMLOG_E_S1_DONE              8.321
85009.851524040 MEMLOG_E_S1_DONE              8.321
85010.351488233 MEMLOG_E_S1_DONE              8.321
85009.251541019 MEMLOG_E_S1_DONE              8.322
85009.487175560 MEMLOG_E_S1_DONE              8.322
85011.351476516 MEMLOG_E_S1_DONE              8.322
85013.383504210 MEMLOG_E_S1_DONE              8.322
85015.351252254 MEMLOG_E_S1_DONE              8.322
85012.051426178 MEMLOG_E_S1_DONE              8.323
85012.151436569 MEMLOG_E_S1_DONE              8.323
85014.683430541 MEMLOG_E_S1_DONE              8.323
85014.951273815 MEMLOG_E_S1_DONE              8.323
85016.151210746 MEMLOG_E_S1_DONE              8.323
85016.751171217 MEMLOG_E_S1_DONE              8.323
85008.951574691 MEMLOG_E_S1_DONE              8.324
85012.551428549 MEMLOG_E_S1_DONE              8.324
85013.251369149 MEMLOG_E_S1_DONE              8.324
85015.751245797 MEMLOG_E_S1_DONE              8.324
85009.551527816 MEMLOG_E_S1_DONE              8.326
85011.887063531 MEMLOG_E_S1_DONE              8.326
85012.251414303 MEMLOG_E_S1_DONE              8.326
85013.851336130 MEMLOG_E_S1_DONE              8.326
85014.251307173 MEMLOG_E_S1_DONE              8.329
85009.751526827 MEMLOG_E_S1_DONE              8.331
85013.351392092 MEMLOG_E_S1_DONE              8.331
85016.651163847 MEMLOG_E_S1_DONE              8.331
85010.151521618 MEMLOG_E_S1_DONE              8.332
85012.583560823 MEMLOG_E_S1_DONE              8.332
85012.951355268 MEMLOG_E_S1_DONE              8.332
85011.851453053 MEMLOG_E_S1_DONE              8.334
85017.251163224 MEMLOG_E_S1_DONE              8.334
85009.151571462 MEMLOG_E_S1_DONE              8.335
85012.351461569 MEMLOG_E_S1_DONE              8.335
85014.783472599 MEMLOG_E_S1_DONE              8.335
85013.451376806 MEMLOG_E_S1_DONE              8.338
85013.151413550 MEMLOG_E_S1_DONE              8.339
85015.951231839 MEMLOG_E_S1_DONE              8.339
85016.883373674 MEMLOG_E_S1_DONE              8.341
85014.751307304 MEMLOG_E_S1_DONE              8.344
85015.151282826 MEMLOG_E_S1_DONE              8.344
85013.951355531 MEMLOG_E_S1_DONE              8.346
85014.351323345 MEMLOG_E_S1_DONE              8.346
85010.451516488 MEMLOG_E_S1_DONE              8.351
85014.851309309 MEMLOG_E_S1_DONE              8.351
85015.251309050 MEMLOG_E_S1_DONE              8.355
85015.051317539 MEMLOG_E_S1_DONE              8.371
85014.451419151 MEMLOG_E_S1_DONE              8.420
85014.151489437 MEMLOG_E_S1_DONE              8.501
85014.051688367 MEMLOG_E_S1_DONE              8.689
85009.352428122 MEMLOG_E_S1_DONE              9.210
85010.288275397 MEMLOG_E_S1_DONE              9.287
85015.484659910 MEMLOG_E_S1_DONE              9.310
85017.216765914 MEMLOG_E_S1_DONE              9.317
85012.020440094 MEMLOG_E_S1_DONE              9.343
85013.752731354 MEMLOG_E_S1_DONE              9.530
85011.194612462 MEMLOG_E_S1_DONE             15.790
85016.393055349 MEMLOG_E_S1_DONE             17.868
85015.393224146 MEMLOG_E_S1_DONE             18.056
85011.929096309 MEMLOG_E_S1_DONE             18.062
85017.125297442 MEMLOG_E_S1_DONE             18.067
85010.196961612 MEMLOG_E_S1_DONE             18.072
85013.661259705 MEMLOG_E_S1_DONE             18.123
85009.462292194 MEMLOG_E_S1_DONE             18.916
85014.662134702 MEMLOG_E_S1_DONE             19.073
85014.629958313 MEMLOG_E_S1_DONE             19.129
85011.162444459 MEMLOG_E_S1_DONE             19.144
85012.862355634 MEMLOG_E_S1_DONE             19.160
85011.062495005 MEMLOG_E_S1_DONE             19.167
85015.429936857 MEMLOG_E_S1_DONE             19.167
85014.594412469 MEMLOG_E_S1_DONE             19.169
85010.230285127 MEMLOG_E_S1_DONE             19.173
85011.130259998 MEMLOG_E_S1_DONE             19.175
85011.997952544 MEMLOG_E_S1_DONE             19.175
85012.894548480 MEMLOG_E_S1_DONE             19.177
85013.694497857 MEMLOG_E_S1_DONE             19.180
85017.194316436 MEMLOG_E_S1_DONE             19.180
85016.326600191 MEMLOG_E_S1_DONE             19.185
85016.226632612 MEMLOG_E_S1_DONE             19.186
85014.494442234 MEMLOG_E_S1_DONE             19.187
85011.030254034 MEMLOG_E_S1_DONE             19.188
85009.430359137 MEMLOG_E_S1_DONE             19.193
85014.530052661 MEMLOG_E_S1_DONE             19.193
85009.398140613 MEMLOG_E_S1_DONE             19.194
85016.362130670 MEMLOG_E_S1_DONE             19.194
85012.794580954 MEMLOG_E_S1_DONE             19.197
85013.730121982 MEMLOG_E_S1_DONE             19.198
85015.462186162 MEMLOG_E_S1_DONE             19.198
85017.162112079 MEMLOG_E_S1_DONE             19.207
85011.962458626 MEMLOG_E_S1_DONE             19.213
85010.262547869 MEMLOG_E_S1_DONE             19.224
85016.262172362 MEMLOG_E_S1_DONE             19.225
85012.762418107 MEMLOG_E_S1_DONE             19.226
85011.098100693 MEMLOG_E_S1_DONE             19.255
85016.294460469 MEMLOG_E_S1_DONE             19.255
85012.830252318 MEMLOG_E_S1_DONE             19.296
85012.930315625 MEMLOG_E_S1_DONE             19.350
85014.562643422 MEMLOG_E_S1_DONE             19.584
